"filename", "language", "YAML", "Dart", "Markdown", "C++", "XML", "Swift", "Properties", "JSON", "Groovy", "comment", "blank", "total"
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\database\database_helper.dart", "Dart", 0, 156, 0, 0, 0, 0, 0, 0, 0, 79, 20, 255
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\delete_pupup.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 4, 4, 96
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\drag_complex.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 16, 7, 147
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\drawer_home.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 17, 4, 136
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\input_dashed_line.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 5, 7, 70
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\input_triangle.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 40, 4, 98
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\travel_detail.dart", "Dart", 0, 498, 0, 0, 0, 0, 0, 0, 0, 20, 7, 525
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\travel_profile_addProfile.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 6, 5, 112
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\travel_profiles.dart", "Dart", 0, 263, 0, 0, 0, 0, 0, 0, 0, 34, 4, 301
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\triangle_help.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 4, 2, 83
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\triangle_painter.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 6, 38
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\user_detail.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 3, 58
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\user_item.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\user_profile_addUser.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 7, 5, 153
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\drawer\user_profiles.dart", "Dart", 0, 240, 0, 0, 0, 0, 0, 0, 0, 31, 5, 276
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\home_destination_input\destinationinput.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 14, 3, 84
"c:\Uni\Bachelorarbeit\App\routenplaner 07.01.20\lib\home_destination_input\destinationinput_destination.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 8, 9, 81
